code,authors,year,title,main_topic,geo,deduced or present,tags,measures_all,age_group,langs,procedure,long_cross,n,notes,n_bboys,n_bgirls,n_mboys,n_mgirls,n_boys,n_girls,n_mono,n_bi,attrition(n),% dropped,instrument (for eye tracker studies or brain imagining),methodology or paradigm,online/offline coding,DV,lab_home,age_low,age_max,age_mean,age_SD,bi_def_present,do they describe the %,mono range (L1),bi range (L2),mono_definition,mono_def_present,mono_concept,bi_definition,mono_cutoff,bi_cutoff,modified version,bi_measure,family_bi_measure,concept,bi_measure_more,cum/curr,adm_lang_quest,#study,"if comparing, diff?",results_mono,results_bi,results_other,Data collection,osf?,contact info,citation
1,"Morin-Lessard, Elizabeth

Poulin-Dubois, Diane

Segalowitz, Norman

Byers-Heinlein, Krista",2019,Selective attention to the mouth of talking faces in monolinguals and bilinguals aged 5 months to 5 years. [References].,Selective attention,"Montréal, Québec",present,"infancy, childhood, bilingualism, audio-visual speech, multisensory perception","*Bilingualism

*Infant Development

*Infant Vocalization

*Monolingualism

Comprehension

Motivation

Mouth (Anatomy)

Selective Attention

Sensory Integration

Vocabulary

Native Language","5mo, 9mo, 12mo, 14mo, 24mo",FRN-ENG,"﻿Child sat on parent's lap and watched three videos of a speaker talking in three differnt languages: English ( 55s), French (66s), and Russian (47s). Three AOIS were identified for face, mouth, and eyes (including eye brow). Order of videos was one out of 6 counterbalanced orders. ",cross,209,999,idk,idk,idk,idk,iDK,iDK,115,94,252,46.32%,"Tobii T60-XL or a Tobii TX300 eye tracker (Tobii Group, Stockholm, Sweden)",eye tracking,online,looking time,lab,"5mo= 144days, 9mo = 262days, 12mo=157days, 14mo=415mo, 24mo=603days","5mo= 197days, 9mo = 322days, 12mo = 405days, 14mo=462, 24mo= 1014days",999,idk,yes,no,999,999,Exposed to either Eng or French for at least 90%,y,exposure,Exposed to either Eng or French for at least 25%,90,25,no,MAPLE,yes,exposure,999,cum,2,1,no,no_diff,no_diff,"When viewing Eng and French (which were dominant/native for some participants, and nondominant/nonnative for others), 5mo spent equal time gazing at the eyes and mouth, whereas children from Ages 9 mos to 5 yos showed a persistent interest in the mouth relative to the eyes.
When viewing Russian, children showed a more balanced pattern of attention to the eyes versus mouth across all ages. Adults were more interested in the eyes than the mouth while viewing all languages.","May, 2013-October 2017",Y,"Byers-Heinlein, Krista: k.byers@concordia.ca","Morin-lessard, E., Poulin-Dubois, D., Segalowitz, N., & Byers-Heinlein, K. (2019). Selective Attention to the Mouth of Talking Faces in Monolinguals and Bilinguals Aged 5 Months to 5 Years. Developmental Psychology, 55(8), 1640–1655."
2,"Pearson, Barbara Zurer

Fernandez, Sylvia C",1994,Patterns of interaction in the lexical growth in two languages of bilingual infants and toddlers. [References].,vocabulary development,idk,not present,"lexical growth, bilingual infants, two languages, age differences, learning strategies","*Bilingualism

*Foreign Language Learning

*Language Development

Age Differences

Childhood Development",10mo-30mo,ENG-SPN,,mixed,18,999,10,8,0,0,10,8,0,18,0,0.00%,999,vocab (CDI),999,Total words,lab,10mo,30mo,idk,idk,yes,no,999,999,999,999,999,being reared in English-Spanish bilingual homes,999,none,idk,Language background questionnaire,no,caregivers status,999,cum,idk,1,999,999,"Few children in this study showed equal growth in words development in both languages. The rate and pace of development were similar to monolingual children. Lots of individual differences based on the language arrangements (change of caregiver with different dominant languages, one parent native vs two native parents, etc)",999,idk,no,"Pearson, Barbara Zurer: bpearson@umiami.ir.miami.edu","Pearson, B. Z., & Fernandez, S. C. (1994). Patterns of Interaction in the Lexical Growth in Two Languages of Bilingual Infants and Toddlers. Language Learning, 44(4), 617–653."
3,"Potter, Christine E

Fourakis, Eva

Morin-Lessard, Elizabeth

Byers-Heinlein, Krista

Lew-Williams, Casey",2019,Bilingual toddlers' comprehension of mixed sentences is asymmetrical across their two languages.,code Switching,"New Jersey, U.S.",present,"bilingualism, language development, language processing, language switching, statistical learning, word representations",0,18mo-30mo,ENG-SPN,,one time,20,999,6,14,0,0,6,14,0,20,13,39.39%,﻿Looking‐While‐Listening procedure,manual looking time,offline,﻿proportion of time children spent looking to the target divided by the total time looking at either image over a window of 367–2000 ms following the onset of the target noun,lab,18,30,23.1,3.5,yes,yes,999,21%-50%,999,999,999,"All participants had experience with both English and Spanish within their first 6 months of life, were exposed to each language at least 20% of the time, and had no significant exposure to a third language",999,20,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,cum,4,1,999,999,"﻿toddlers rec‐ ognized familiar nouns produced in their dominant language in both easy (Single‐Language) and difficult (Switched‐Language) utterances, but only demonstrated comprehension of labels produced in their non‐dominant language if the whole sentence was produced in the non‐dominant language. Thus, not all language switching impedes processing, and the robustness of bilingual toddlers’ word knowledge influences their real‐time comprehension of simple sentences.",999,"﻿November, 2016 and November, 2017",no,"Potter, Christine E.: cepotter@princeton.edu","Potter, C. E., Fourakis, E., Morin-Lessard, E., Byers-Heinlein, K., & Lew-Williams, C. (2019). Bilingual toddlers’ comprehension of mixed sentences is asymmetrical across their two languages. Developmental Science, 22(4), 1–9. https://doi.org/10.1111/desc.12794"
4,"Ribot, Krystal M

Hoff, Erika",2014,"""?Como estas?"" ""I'm good."" conversational code-switching is related to profiles of expressive and receptive proficiency in Spanish-English bilingual toddlers. [References].",code Switching,"South Florida, FL, US",present,"code-switching, vocabulary, language choice, language proficiency, Spanish-English bilingual toddlers","*Bilingualism

*Code Switching

*Language

*Language Proficiency

*Vocabulary",30mo,SPN-ENG,"3 interviews: one for parent questions, one for child questions in ENG, and another one for child's questions for SPN",one time (divided in three visits),115,999,53,62,0,0,53,62,0,115,5,4.17%,999,interview,999,"Conversational Code switching, Expressive and receptive vocabulary",lab,NA,NA,30.44,0.38,yes,no,999,999,NA,999,999,"Exposed to ENG and SPN from birth, the least ehard language should have eben at least 10%",NA,10,999,own questionnaire,idk,exposure,to estimate the percent of their child’s language exposure that was in English and in Spanish. No specific questionnaire just estimation,cum,2,1,999,999,999,"﻿Results:
Conversational code switching: More kids CS when responding to SPN than ENG (p=.032). This was done the with ALWAYS VS not ALWAYS

Input balance: When comparing kids who SOMETIMES CS vs those who ALWAYS CS to ENG when talked in SPN, they heard more ENG than those who did NOT (p<.001). Similarly those who who sometime switched to SPANISH in response to ENG heard less ENG and more SPN at home than those who ALWAYS CS. 

Receptive vs Expresive: Tests were higher in ENG than SPN. Kids ihad significantly higher expressice vocabularies in eNG than SPN. No significant differences in receptive. ",IDK,N,"Ribot, Krystal M.: klago3@fau.edu","Ribot, K. M., & Hoff, E. (2015). “¿Cómo estas?” “I’m good.” Conversational code-switching is related to profiles of expressive and receptive proficiency in Spanish-English bilingual toddlers. International Journal of Behavioral Development, 38(4), 333–341. https://doi.org/10.1177/0165025414533225."
5,"Ip, Martin Ho Kwan

Imuta, Kana

Slaughter, Virginia",2018,Which button will I press? Preference for correctly ordered counting sequences in 18-month-olds. [References].,counting,"Quensland, Australia",present,"counting, infancy, bilingualism, number cognition","*Cognitive Development

*Infant Development

*Number Comprehension

Bilingualism

Sequential Learning

Test Construction",18mo,ENG-X,,one time,24,999,9,15,0,0,9,15,0,24,5,17.24%,999,﻿preferential button-pressing paradigm,999,Mean button presses,lab,"﻿17 months, 18 days","﻿19 months, 14 days","18m, 4 days",NA,yes,no,999,999,999,999,999,acquiring at least one other language from their parents or grandparents,999,none,999,single question,no,exposure,question to parents about whether child is aquiring another language,curr,2,3,999,999,"﻿This experiment demonstrated that 18-month-old infants who
were learning more than one language preferred correct stable- ordered counting even when it was recited in an unfamiliar foreign language. One interpretation of this finding is that multilingual infants recognize and understand correct counting at a more ab- stract level than infants who are exposed to one language.",999,IDK,N,"Slaughter, Virginia: vps@psy.uq.edu.au","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018). Which Button Will I Press ? Preference for Correctly Ordered Counting Sequences in 18-Month-Olds. Developmental Psychology, 54(7), 1199–1207."
5,"Ip, Martin Ho Kwan

Imuta, Kana

Slaughter, Virginia",2018,Which button will I press? Preference for correctly ordered counting sequences in 18-month-olds. [References].,counting,"Quensland, Australia",present,"counting, infancy, bilingualism, number cognition","*Cognitive Development

*Infant Development

*Number Comprehension

Bilingualism

Sequential Learning

Test Construction",18mo,ENG-X,,one time,21,"The sample included bilingual (n =15), trilingual (n=5), and quadrilingual (n =1) infants",IDK,IDK,0,0,IDK,IDK,0,21,4,16.00%,999,﻿preferential button-pressing paradigm,999,Mean button presses,lab,﻿16 months 10 days,﻿19 months 29 days,"﻿17 m, 25 days",NA,yes,no,999,999,999,999,999,acquiring at least one other language from their parents or grandparents,999,none,999,single question,no,exposure,question to parents about whether child is aquiring another language,curr,2,4,999,999,"﻿First, multilingual infants produced significantly fewer button presses overall when pre- sented with English alphabet sequences compared to Japanese counting sequences. This might mean that they were more inter- ested in listening to Japanese counting compared to English ABCs, although of course these were two different samples of infants, so this conclusion is speculative. Second, multilingual infants did not exhibit a statistically significant preference for stable-ordered Eng- lish alphabet recital. This latter finding undermines the idea that multilingual infants’ preference for stable-ordered Japanese count- ing is simply a product of superior sensitivity to linguistic sounds",999,IDK,N,"Slaughter, Virginia: vps@psy.uq.edu.au","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018). Which Button Will I Press ? Preference for Correctly Ordered Counting Sequences in 18-Month-Olds. Developmental Psychology, 54(7), 1199–1207."
6,"Friend, Margaret

Smolak, Erin

Liu, Yushuang

Poulin-Dubois, Diane

Zesiger, Pascal",2018,A cross-language study of decontextualized vocabulary comprehension in toddlerhood and kindergarten readiness. [References].,vocabulary development,"Québec, Canada",present,"toddler, preschool, decontextualized vocabulary, vocabulary size, kindergarten readiness","*Comprehension

*Language Development

*Preschool Students

*School Readiness

*Vocabulary

Kindergartens

Literacy",22mo,ENG-FRN,,long,48,"this is for first wave, 34 returned",29,19,0,0,29,19,0,48,14 (+ 24 whose data was excluded),22.58%,999,"mcdi,cct, ppvt,evip,lollipop test",999,"MCDI, CCT, PPVT, lollipop test,",lab,"﻿20;24 for the english visit, ﻿20;27 for the french visit",﻿26;6 for both visits,﻿23;24,NA,yes,yes,999,21% to 61%,999,999,999,80% or less with an L2 of at least 20%,999,20,999,"The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)",yes,exposure,999,cum,2,3,999,"The present research suggests that, in monolingual children and their BFLA peers, early vocabulary is a key longitudinal predictor of language and kindergarten readiness.","decontextualized vocabulary in the
second year predicted both vocabulary and kindergarten readiness in the fourth year",Decontextualized vocabulary at 22mo was calculated from the CCT ; Decontextualized vocabulary comprehension at 48 months was estimated from the PPVT.,IDK,no,"Friend, Margaret: mfriend@mail.sdsu.edu","Friend, M., Smolak, E., Poulin-Dubois, D., & Zesiger, P. (2018). A Cross-Language Study of Decontextualized Vocabulary Comprehension in Toddlerhood and Kindergarten Readiness. Developmental Psychology, 54(7), 1317–1333."
7,"DeAnda, Stephanie

Hendrickson, Kristi

Zesiger, Pascal

Poulin-Dubois, Diane

Friend, Margaret",2018,Lexical access in the second year: A study of monolingual and bilingual vocabulary development. [References].,vocabulary development,metropolitan area in Southern California,present,"lexical access, bilinguals, vocabulary, toddlers","*Bilingualism

*Early Childhood Development

*Language Development

*Lexical Access

*Vocabulary",16mo & 22mo,SPN-ENG,,long,187,"143 (79 ENG, 64 SPN)",28,17,71,72,89,99,143,44,idk,idk,﻿Stimuli were presented on a 51 cm 3M SCT3250EX touch capacitive wall-mounted monitor. An HD video camera was mounted above and behind the touch monitor to capture haptic response to the visual stimuli. Two audio speakers were positioned to the right and left of the touch monitor for the presentation of auditory reinforcers that aided in maintaining interest and compliance.,haptic response,999,"Word processing, vocabulary",lab,"(english= 15;15, Spanish = 15;15, Bilingual = 14;23); (english= 21;6, Spanish =23;21, Bilingual = 21;3) ","(english= 18;2, Spanish =20;21, Bilingual = 19;21); (english= 25;12, Spanish = 21;15, Bilingual = 26;18)","(english= 16;20, Spanish = 17;3, Bilingual = 17;23); (english= 23;2, Spanish = 23;21, Bilingual = 24;15)",NA,Yes,yes,idk,37%-63%,>80,y,exposure,80 or less,80,20,999,"The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)",yes,exposure+LENA,999,cum,2,1,kinda,22 better than 16,no significant differences in lang group for speed but smaller vocab than mono when measure one language,999,IDK,no,"Friend, Margaret: mfriend@mail.sdsu.edu","DeAnda, S., Hendrickson, K., Zesiger, P., Poulin-Dubois, D., & Friend, M. (2020). Lexical access in the second year: a study of monolingual and bilingual vocabulary development. Bilingualism: Language and Cognition, 21(2), 314–327. https://doi.org/10.1017/S1366728917000220"
8,"Poulin-Dubois, Diane

Kuzyk, Olivia

Legacy, Jacqueline

Zesiger, Pascal

Friend, Margaret",2018,Translation equivalents facilitate lexical access in very young bilinguals. [References].,translation equivalent,"Québec, Canada",deduced,"bilingualism, translation equivalents, toddlers, reaction time, processing speed","*Bilingualism

*Language Development

*Lexical Access

Reaction Time",22mo,FRN-ENG,,one time,36,999,21,15,0,0,21,15,0,36,15,29.41%,touchscreen,cct,999,"TE, CDI",lab,﻿21.77 to,26.27,﻿23.73,0.96,Yes,yes,idk,21%-50%,NA,999,999,80 or less,NA,20,999,"The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)",yes,exposure,999,cum,2,1,999,NA,"﻿infants were faster to respond to trials with a known TE (M = 2700.64, SD = 84.71) compared to trials without a known TE (M= 3045.47, SD = 80.41).",999,IDK (6 waves),no,"Poulin-Dubois, Diane: Diane.PoulinDubois@concordia.ca","Poulin-Dubois, D., Kuzyk, O., Legacy, J., Zesiger, P., & Friend, M. (2020). Translation equivalents facilitate Lexical Access in very young bilinguals. Bilingualism: Language and Cognition, 21(4), 856–866. https://doi.org/10.1017/S1366728917000657"
9,"Fecher, Natalie

Johnson, Elizabeth K",2018,Bilingual infants excel at foreign-language talker recognition.,"talker recognition, social","Greater Toronto Area, Canada",present,"bilingualism, cognitive development, infant speech perception, language acquisition, talker recognition",0,8.5mo‐9.5mo,ENG-X(,,one time,48,999,12,12,12,12,24,24,24,24,17,26.15%,video presentation,manual looking preference after habituation,999,Difference Mean looking times,lab,"monolinguals= ﻿260, bilinguals =259","﻿291 for mono, 289 for bilinguals","﻿276 days for mono, ﻿272 days for bilinguals",NA,no,yes,90-100,ENG-30-70%,not present,not present,exposure,idk,idk,idk,999,no specified,idk,exposure,the cutoffs were not justified and were infered by their descriptive results,idk,IDK,1,no,monolinguals did not differed significantly between switched and no switched trials,Bilinguals looked longer at the mismatch video than the matched ones suggesting that they recognized better that the voices did not match the faces while this was not different for monolinguals,999,IDK,no,"Johnson, Elizabeth K.: elizabeth.johnson@utoronto.ca","Fecher, N., & Johnson, E. K. (2018). Bilingual infants excel at foreign ‐ language talker recognition. Developmental Science, 22(4), 1–6. https://doi.org/10.1111/desc.12778"
