"","code","study_num","year","age_group","location","country","groups","languages","mono_def_present","mono_definition","mono_concept","bi_concept","bi_def_present","bi_definition","bi_measure","cutoff_mono","cutoff_bi","attrition.n.","Data.collection","lab_home","citation","articles","if.comparing..diff."
"1",1,"1",2019,"5mo, 9mo, 12mo, 14mo, 24mo","Québec (Montréal), Canada","Canada","Monolinguals= 115
Bilinguals= 94","French-English","Present","Exposed to either Eng or French for at least 90%","exposure","Exposure","Present","Exposed to either Eng or French for at least 25%","MAPLE","90%","25%","252","May, 2013-October 2017","lab","Morin-lessard, E., Poulin-Dubois, D., Segalowitz, N., & Byers-Heinlein, K. (2019). Selective Attention to the Mouth of Talking Faces in Monolinguals and Bilinguals Aged 5 Months to 5 Years. Developmental Psychology, 55(8), 1640–1655.","Morin-lessard, E., Poulin-Dubois, D., Segalowitz, N., & Byers-Heinlein, K. (2019)","no"
"2",2,"1",1994,"10mo-30mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 18","English-Spanish","NA","999","999","Caregivers Status","Present","being reared in English-Spanish bilingual homes","Language background questionnaire","NA","None","0","idk","lab","Pearson, B. Z., & Fernandez, S. C. (1994). Patterns of Interaction in the Lexical Growth in Two Languages of Bilingual Infants and Toddlers. Language Learning, 44(4), 617–653.","Pearson, B. Z., & Fernandez, S. C. (1994)","999"
"3",3,"1",2019,"18mo-30mo","New Jersey, United States","United States","Monolinguals= 0
Bilinguals= 20","English-Spanish","NA","999","999","Exposure","Present","All participants had experience with both English and Spanish within their first 6 months of life, were exposed to each language at least 20% of the time, and had no significant exposure to a third language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","20%","13","﻿November, 2016 and November, 2017","lab","Potter, C. E., Fourakis, E., Morin-Lessard, E., Byers-Heinlein, K., & Lew-Williams, C. (2019). Bilingual toddlers’ comprehension of mixed sentences is asymmetrical across their two languages. Developmental Science, 22(4), 1–9. https://doi.org/10.1111/desc.12794","Potter, C. E., Fourakis, E., Morin-Lessard, E., Byers-Heinlein, K., & Lew-Williams, C. (2019)","999"
"4",4,"1",2014,"30mo","Florida (South Florida), United States","United States","Monolinguals= 0
Bilinguals= 115","English-Spanish","NA",NA,"999","Exposure","Present","Exposed to ENG and SPN from birth, the least ehard language should have eben at least 10%","own questionnaire","NA","10%","5","IDK","lab","Ribot, K. M., & Hoff, E. (2015). “¿Cómo estas?” “I’m good.” Conversational code-switching is related to profiles of expressive and receptive proficiency in Spanish-English bilingual toddlers. International Journal of Behavioral Development, 38(4), 333–341. https://doi.org/10.1177/0165025414533225.","Ribot, K. M., & Hoff, E. (2015)","999"
"5",5,"3",2018,"18mo","Quensland, Australia","Australia","Monolinguals= 0
Bilinguals= 24","English-Other","NA","999","999","Exposure","Present","acquiring at least one other language from their parents or grandparents","single question","NA","None","5","IDK","lab","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018). Which Button Will I Press ? Preference for Correctly Ordered Counting Sequences in 18-Month-Olds. Developmental Psychology, 54(7), 1199–1207.","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018)","999"
"6",5,"4",2018,"18mo","Quensland, Australia","Australia","Monolinguals= 0
Bilinguals= 21","English-Other","NA","999","999","Exposure","Present","acquiring at least one other language from their parents or grandparents","single question","NA","None","4","IDK","lab","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018). Which Button Will I Press ? Preference for Correctly Ordered Counting Sequences in 18-Month-Olds. Developmental Psychology, 54(7), 1199–1207.","Ip, M. H. K., Imuta, K., & Slaughter, V. (2018)","999"
"7",6,"3",2018,"22mo","Québec, Canada","Canada","Monolinguals= 0
Bilinguals= 48","French-English","NA","999","999","Exposure","Present","80% or less with an L2 of at least 20%","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","NA","20%","14 (+ 24 whose data was excluded)","IDK","lab","Friend, M., Smolak, E., Poulin-Dubois, D., & Zesiger, P. (2018). A Cross-Language Study of Decontextualized Vocabulary Comprehension in Toddlerhood and Kindergarten Readiness. Developmental Psychology, 54(7), 1317–1333.","Friend, M., Smolak, E., Poulin-Dubois, D., & Zesiger, P. (2018)","999"
"8",7,"1",2018,"16mo & 22mo","California (Southern California), United States","United States","Monolinguals= 143
Bilinguals= 44","English-Spanish","Present",">80","exposure","Exposure","Present","80 or less","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","80%","20%","idk","IDK","lab","DeAnda, S., Hendrickson, K., Zesiger, P., Poulin-Dubois, D., & Friend, M. (2020). Lexical access in the second year: a study of monolingual and bilingual vocabulary development. Bilingualism: Language and Cognition, 21(2), 314–327. https://doi.org/10.1017/S1366728917000220","DeAnda, S., Hendrickson, K., Zesiger, P., Poulin-Dubois, D., & Friend, M. (2020)","kinda"
"9",8,"1",2018,"22mo","Québec, Canada","Canada","Monolinguals= 0
Bilinguals= 36","French-English","NA",NA,"999","Exposure","Present","80 or less","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","NA","20%","15","IDK (6 waves)","lab","Poulin-Dubois, D., Kuzyk, O., Legacy, J., Zesiger, P., & Friend, M. (2020). Translation equivalents facilitate Lexical Access in very young bilinguals. Bilingualism: Language and Cognition, 21(4), 856–866. https://doi.org/10.1017/S1366728917000657","Poulin-Dubois, D., Kuzyk, O., Legacy, J., Zesiger, P., & Friend, M. (2020)","999"
"10",9,"1",2018,"8.5mo‐9.5mo","Greater Toronto Area, Canada","Canada","Monolinguals= 24
Bilinguals= 24","English-Other","Not Present","not present","exposure","Exposure","Not Present","idk","no specified","None","None","17","IDK","lab","Fecher, N., & Johnson, E. K. (2018). Bilingual infants excel at foreign ‐ language talker recognition. Developmental Science, 22(4), 1–6. https://doi.org/10.1111/desc.12778","Fecher, N., & Johnson, E. K. (2018)","no"
